Destination Id,Hotel Name,Hotel ID,Star rating,Locality,Guest Reviews,Guest Review Rating,Hotel type,Price per night,Rooms left
1904726,Collection O Xani Mui Hotel Boutique,572330,2.5,Aculco,0,NA,Hotel,MXN 533,1
1904726,Hotel Aculco,1623938048,2.5,Aculco,0,NA,Hotel,"MXN 1,652",0
1904726,Hotel La Esperanza,572268,2.5,Aculco,0,NA,Hotel,0,0
1904726,HOH Hotel,643875040,3.5,Aculco,11,7.6,Hotel,0,0
1904726,Mision La Muralla,236511,2.5,Amealco,149,8.8,Hotel,0,0
1904726,Hotel Suites Santa Teresa,524339,2.5,Temascalcingo,17,6.0,Hotel,0,0
1904726,Hotel V,568319,3.5,Temascalcingo,21,4.8,Hotel,0,0
1904726,Hotel La Casona,720219712,3.0,Jilotepec de Abasolo,56,8.2,Hotel,0,0
1904726,MANSION DE LOS ABUELOS HOTEL BOUTIQUE,730660928,3.0,Atlacomulco,29,8.8,Hotel,0,0
1904726,Hotel Cantalagua Inn,1067504736,3.5,Atlacomulco,29,8.2,Hotel,0,0
1904726,La Cabaña de Lola,1229780544,2.5,Amealco,0,NA,Hotel,0,0
1904726,Casa Maria Campiña,1464479008,2.5,Buenavista,1,2.0,Hotel,0,0
1904726,Hotel Boutique Grand Valeria,1663828992,3.5,Atlacomulco,0,NA,Hotel,0,0
1904726,Hotel San Agustin,1692462784,2.5,Acambay de Ruíz Castañeda,0,NA,Hotel,0,0
1904726,Capital O Villas San Francisco Hotel,1706389088,2.5,Huichapan,0,NA,Hotel,0,0
1904726,Hotel La Glorieta,492581568,2.5,Huichapan,0,NA,Hotel,0,0
863503,Hacienda de los Santos,545742,4.0,Alamos,37,9.6,Hotel,"MXN 3,419",3
863503,Alamos Hotel Colonial,553065,3.5,Alamos,42,9.6,Hotel,0,0
863503,Siete Columnas Casa La Luna,1190519136,3.5,Alamos,5,9.6,Hotel,0,0
851540,Hotel Mirador Amealco,1704147264,2.5,Amealco,0,NA,Hotel,MXN 463,2
851540,OYO Hotel Posada Laura,1422161472,2.5,San Juan del Rio,5,6.8,Hotel,0,0
851540,Hotel Layseca,1445733280,3.0,San Juan del Rio,1,10.0,Hotel,0,0
851540,Hotel Cava Piedra,1462411808,3.0,Tequisquiapan,1,8.0,Hotel,0,0
851540,Hotel O Puente,1568717568,3.0,San Juan del Rio,0,NA,Hotel,0,0
851540,Hotel San Juan Park,1574869728,3.0,San Juan del Rio,0,NA,Hotel,0,0
851540,Hotel Concierge Plaza La Esperanza,685585312,2.5,Tequisquiapan,3,5.4,Hotel,0,0
851540,Hotel Amealco,418355,3.0,Amealco,15,7.8,Hotel,0,0
851540,Cabañas Marín,769131328,2.5,Amealco,0,NA,Cabin,0,0
851540,Fiesta Americana Hacienda Galindo Resort & Spa,169599,4.0,San Juan del Rio,223,8.8,Hotel,0,0
851540,Hotel Hacienda Cantalagua Golf,215116,4.0,Contepec,158,8.4,Hotel,0,0
851540,Misión San Gil,213489,3.5,San Juan del Rio,394,7.8,Hotel,0,0
851540,"Hampton by Hilton San Juan del Rio, Querétaro MX",421292,3.0,San Juan del Rio,176,8.4,Hotel,0,0
851540,Hotel Hacienda La Venta,453452,3.5,San Juan del Rio,4,7.6,Hotel,0,0
851540,Hotel Victoria Inn,486648,3.0,San Juan del Rio,86,8.4,Hotel,0,0
851540,Hotel Gran Hostal de Tequisquiapan,569909,1.0,Tequisquiapan,8,8.8,Hostal,0,0
851540,Mesón Gran Hostal de Tequisquiapan ,599426,1.0,Tequisquiapan,5,6.8,Hostal,0,0
851540,Casa Boutique del Lago,646290,3.5,San Juan del Rio,1,10.0,Home,0,0
851540,Hotel Villa 12 TX,950551328,2.5,Tequisquiapan,1,6.0,Hotel,0,0
851540,Hotel Boutique La Herencia,1022660896,3.5,Tequisquiapan,5,8.0,Hotel,0,0
851540,Hotel Los Naranjos,1063828032,2.5,Tequisquiapan,4,7.0,Hotel,0,0
851540,Bungalows Tequisquiapan,1153972672,2.5,Tequisquiapan,0,NA,Guest house,0,0
851540,Misión Express San Juan del Río,1168541536,3.0,San Juan del Rio,90,8.8,Hotel,0,0
851540,Excellence Express San Juan del Río,1220105248,3.0,San Juan del Rio,13,9.0,Hotel,0,0
851540,Hotel West Refugio,1269797152,0.0,San Juan del Rio,6,7.6,Hotel,0,0
857225,Hotel Coy,1568006880,2.0,Beatriz,0,NA,Hotel,MXN 228,0
857225,Posada Familiar Tonantzin,726533472,2.5,Xilitla,0,NA,Hotel,MXN 460,2
857225,Una Estrella Casa de Huéspedes,1459605408,2.5,Xilitla,1,4.0,Hotel,MXN 480,1
857225,Posada Inkali Xilitla,1136998752,2.5,Xilitla,13,8.4,Hotel,MXN 492,1
857225,Posada La Minita,1465526080,3.0,Xilitla,0,NA,Guest house,MXN 575,2
857225,Hotel Tancanhuitz,1624001216,2.5,Tancanhuitz,0,NA,Hotel,MXN 579,0
857225,Hotel María del Refugio,721495776,2.5,Huehuetlán,3,6.0,Hotel,MXN 590,0
857225,Hotel Cascada Huasteca,676136,3.0,Tanchachin,45,7.6,Hotel,MXN 636,3
857225,Hotel y Estancia 24-7,1167900864,3.5,Xilitla,4,7.6,Apartments,MXN 798,1
857225,HOTEL REAL DE LUA,1229431040,3.0,Xilitla,9,8.0,Hotel,"MXN 1,250",0
857225,Camino Surreal Xilitla,1013279328,3.0,Xilitla,9,6.6,Hotel,"MXN 1,425",2
857225,Sierra Huasteca Inn,244859,3.5,Ciudad Valles,37,8.4,Hotel,"MXN 1,810",0
857225,Casa Ackal Huitz,1166563008,3.0,Ciudad Valles,2,7.0,Home,0,0
857225,Huasteca Linda,1168316768,3.0,Xilitla,1,8.0,Hotel,0,0
857225,Hotel CaféNaranja Xilitla,1176180800,2.5,Xilitla,0,NA,Hotel,0,0
857225,estancia 24-7 xilitla,1177273728,0.0,Xilitla,0,NA,Apartment,0,0
857225,Posada Camino al Jardín,1181961856,2.0,Xilitla,0,NA,Guest house,0,0
857225,Hotel Santa Rita,1273257504,2.0,Huehuetlán,1,8.0,Hotel,0,0
857225,Cabañas Mannan,1426501184,2.5,Tanchachin,0,NA,Hotel,0,0
857225,Cabañas y Casas del Árbol La Huerta,1441956672,3.0,Xilitla,4,7.6,Cabins,0,0
857225,Villas Marquis,1572745632,2.5,Ciudad Valles,0,NA,Apartments,0,0
857225,Hotel San Jose,638640960,2.5,Aquismon,4,9.0,Hotel,0,0
857225,Hotel Acuarela Huasteca,648684,2.5,Ciudad Valles,14,4.2,Hotel,0,0
857225,Casa Los Comales,659798,3.0,Xilitla,4,9.6,Home,0,0
857225,Posada James,672298,2.5,Xilitla,4,9.6,Hotel,0,0
857225,Hotel La Gloria ,671971,2.5,Xilitla,8,9.0,Hotel,0,0
857225,Finca Santa Mónica,675300,2.5,Xilitla,0,NA,Hotel,0,0
857225,Posada San Agustin,605917184,2.5,Xilitla,25,8.2,Hotel,0,0
857225,Casa Leonora,608515456,3.0,Xilitla,5,9.6,Home,0,0
857225,Grann Posada Xilitla,655014304,2.5,Xilitla,2,6.0,Hotel,0,0
857225,HOTEL VISTA VERDE,715158272,2.5,Axtla de Terrazas,7,7.2,Hotel,0,0
857225,Xilitla Tours,726532704,2.5,Xilitla,0,NA,Apartment,0,0
857225,Hotel del Vergel,766467808,2.5,Xilitla,6,8.4,Hotel,0,0
857225,Hotel-Posada MK xilitla,770810464,2.5,Xilitla,2,9.0,Hotel,0,0
857225,Quinta Los Cedros,862390880,2.5,Xilitla,26,8.2,Hotel,0,0
857225,Casa Lolita,871329408,2.5,Xilitla,3,6.6,Guest house,0,0
857225,Hotel Moreno ,876162048,3.0,Ciudad Valles,7,6.0,Hotel,0,0
857225,Posada Ónix Xilitla,967413792,2.0,Xilitla,10,8.4,Guest house,0,0
857225,Hotel Casa Mañana Xilitla,986316736,2.0,Xilitla,19,7.2,Hotel,0,0
857225,Hotel del Vergel 1,1090518368,3.0,Xilitla,8,7.8,Hotel,0,0
830058,OYO Hotel Meson de la Concepcion,1463724608,2.5,Arteaga,0,NA,Hotel,MXN 228,1
830058,Hacienda el Buen Vivir,1471346752,2.0,Arteaga,0,NA,Hostel,"MXN 2,975",1
830058,Bosques De Monterreal,275210,2.5,Arteaga,36,8.4,Hotel,"MXN 3,666",4
830058,Cabañas en Arteaga La Joyita,1225596960,2.5,Arteaga,7,9.2,Cabins,"MXN 7,250",1
830058,Courtyard Saltillo,546397,3.5,Saltillo,157,9.2,Hotel,0,0
830058,Mario's Inn,595216,2.5,Ramos Arizpe,14,5.2,Hotel,0,0
830058,Mision Express Saltillo,698591,2.5,Saltillo,110,7.4,Hotel,0,0
830058,Extended Suites Saltillo Galerías,770194112,3.5,Saltillo,265,8.0,Aparthotel,0,0
830058,Staybridge Suites Saltillo,927527136,3.5,Saltillo,100,9.4,Hotel,0,0
830058,Hotel Huizache,1109808896,3.0,Saltillo,12,8.0,Hotel,0,0
830058,NOKTOS Extended Saltillo,1249591616,3.5,Saltillo,13,8.2,Hotel,0,0
830058,Cabañas Diamante Escondido,1441041184,2.5,Arteaga,0,NA,Cabins,0,0
830058,Quality Inn & Suites Saltillo Eurotel,251243,3.5,Saltillo,309,6.6,Hotel,0,0
830058,Camino Real Saltillo,153381,4.0,Saltillo,339,6.8,Hotel,0,0
830058,Four Points by Sheraton Saltillo,251253,3.5,Saltillo,227,7.2,Hotel,0,0
830058,Fiesta Inn Saltillo,161516,3.5,Saltillo,394,8.8,Hotel,0,0
830058,Hotel Imperial Saltillo,591419,3.0,Saltillo,16,6.8,Hotel,0,0
830058,Hampton Inn by Hilton Saltillo Airport Area,196872,2.5,Saltillo,188,8.2,Hotel,0,0
830058,Quinta Dorada Hotel and Suites,198025,3.5,Saltillo,160,8.0,Hotel,0,0
830058,City Express Saltillo Norte,211800,2.5,Saltillo,266,8.4,Hotel,0,0
830058,DoubleTree Suites by Hilton Hotel Saltillo,216189,3.5,Saltillo,83,8.2,Hotel,0,0
830058,Hotel San Jorge,221508,3.0,Saltillo,53,6.2,Hotel,0,0
830058,Hotel Premier,221535,2.0,Saltillo,9,4.8,Hotel,0,0
830058,Hotel Urdinola,221582,2.5,Saltillo,31,6.8,Hotel,0,0
830058,Quinta Real Saltillo,226248,4.0,Saltillo,163,9.0,Hotel,0,0
830058,Holiday Inn Express Saltillo Zona Aeropuerto,270661,2.5,Saltillo,201,8.6,Hotel,0,0
830058,Best Western Saltillo,323533,2.5,Saltillo,27,7.8,Hotel,0,0
830058,City Express Saltillo Sur,341975,2.0,Saltillo,241,8.0,Hotel,0,0
830058,Fairfield Inn & Suites by Marriott Saltillo,373139,3.5,Ramos Arizpe,361,8.0,Hotel,0,0
830058,Hotel La Fuente,453471,2.5,Saltillo,68,7.2,Hotel,0,0
830058,Hotel Nuvó,475306,3.5,Saltillo,53,9.0,Hotel,0,0
830058,Villas del Portal,493365,3.0,Saltillo,0,NA,Aparthotel,0,0
846625,Hotel Montes,1461624416,2.5,Atlixco,3,9.4,Hotel,MXN 280,2
846625,Hotel Emperadores,1401250752,0.0,Atlixco,35,7.0,Hotel,MXN 437,0
846625,Hotel Villa del Angel,1697989856,2.5,Atlixco,0,NA,Hotel,MXN 444,3
846625,Rinconsito de Amor,1366194336,2.5,Atlixco,0,NA,Hostal,MXN 446,1
846625,Hotel Posada Maria Isabel,1624007584,3.0,Atlixco,0,NA,Hotel,MXN 477,3
846625,Hotel Mandala Atlixco,1067529312,2.5,Atlixco,24,8.2,Hotel,MXN 728,2
846625,Quinta Los Grillos B&B,990873888,2.5,Atlixco,27,8.0,Hotel,MXN 887,1
